Date,Close,High,Low,Open,Volume
2023-12-11,522.4332275390625,528.5062518712841,517.9937797153381,528.2756403453656,3655300
2023-12-12,524.3933715820312,526.094219195437,521.4433980213734,524.4702616241408,2706100
2023-12-13,527.5548095703125,527.9487610472345,517.5420374858105,522.7405899735186,2876600
2023-12-14,513.3619995117188,523.6246202346719,508.7111785763672,523.028854401217,5386800
2023-12-15,510.3639831542969,512.6509781518225,502.52289934129493,509.28775711427545,9030100
2023-12-18,505.97259521484375,510.70030688358514,504.7041733232452,508.432548948571,3260300
2023-12-19,503.5605773925781,507.00068797273497,501.3889471061325,504.0891303982618,3645600
2023-12-20,495.767578125,504.31979181998076,495.7099252559292,503.3780500919341,3847800
2023-12-21,499.5632019042969,500.4664692448683,496.3152869126622,498.6022816973023,2491600
2023-12-22,499.9764404296875,502.57093697736565,497.7759540501334,499.5632517374527,1759500
2023-12-26,499.7073669433594,501.1006543334621,497.727814998977,499.56320545132064,1390800
2023-12-27,502.3595275878906,502.7150634246362,499.0635778324321,499.4383508441121,1851800
2023-12-28,504.38702392578125,507.24092869701497,502.5035992665411,503.0128564619505,2001000
2023-12-29,505.8956604003906,507.59650802611066,503.4453254709093,505.4248188576568,2080100
2024-01-02,518.2628173828125,518.5702602888165,506.0879140852656,506.2513127758659,3415700
2024-01-03,520.8475952148438,525.4215260223797,518.3972018269861,521.8180753342521,2891400
2024-01-04,524.1051025390625,527.5452134311367,521.7796919728729,523.7015324589609,2994400
2024-01-05,516.3792724609375,525.6233195682993,512.8718904700328,525.6233195682993,2815400
2024-01-08,515.5529174804688,519.1371310098899,507.36585871952224,518.3203723109319,2648900
2024-01-09,517.3306884765625,518.5222203365686,511.52675062785517,516.9751526360744,2677000
2024-01-10,516.629150390625,520.0500239565399,515.1973886766483,517.0711361466682,2180000
2024-01-11,518.5894165039062,519.0506394408326,513.6407125683725,515.1781614580709,2814100
2024-01-12,501.1295166015625,507.82710242691195,493.0770004131774,498.58305454190173,6327300
2024-01-16,498.86175537109375,504.00265508501656,496.36332761065614,503.24354922564555,3736700
2024-01-17,504.42547607421875,509.9219117271227,499.6785277149302,500.90853378126576,3791300
2024-01-18,496.1615905761719,496.64205070396577,478.0193821337217,485.4857512876127,7367000
2024-01-19,483.8810119628906,497.3242772436532,482.2090200662012,494.87394226919736,6143400
2024-01-22,492.9425048828125,493.4998550896105,477.09693821217996,484.24618772896963,5922900
2024-01-23,495.3736877441406,497.8336415445181,492.06811932645286,492.47168945973846,2672900
2024-01-24,493.1730651855469,501.34088704632063,492.9040380222069,497.66060483581714,2918800
